t,rpm,PE,uF,EmergP
0,137,7929.99999999955,0.999999999999943,-7.51044977401037
0.02,136.403650256449,7895.48136155943,1,-7.46060735500125
0.04,135.85376229322,7863.65208018422,1,-7.40864129865313
0.06,135.346546626205,7834.29280836356,1,-7.35455598408618
0.08,134.878547252281,7807.20350153714,1,-7.29835689731805
0.1,134.446608807632,7782.20151711329,1,-7.24005066956827
0.12,134.047847447612,7759.11992890191,1,-7.17964511516223
0.14,133.679624960889,7737.80602875802,1,-7.11718167341294
0.16,133.339525703054,7718.11999142498,1,-7.05268065799233
0.18,133.025335995373,7699.93368206794,1,-6.9861527118297
0.2,132.73502568504,7683.12958892237,1,-6.91760979877567
0.22,132.466694290962,7666.88547824138,0.999907112002372,-6.84706523767466
0.24,132.213754835894,7637.63425580254,0.997997832380185,-6.77452967056925
0.26,131.971242249179,7609.64134801463,0.996167258578186,-6.69998709715461
0.28,131.738691961416,7582.84664482886,0.994411883856427,-6.62344923313892
0.3,131.515662716896,7557.19336159904,0.992728377455269,-6.54493608085146
0.32,131.301735204795,7532.62782073084,0.991113574263056,-6.46446915617078
0.34,131.09651078551,7509.09925023091,0.989564465202109,-6.38207151351172
0.36,130.89961030446,7486.55959765257,0.988078188274822,-6.29776776887419
0.38,130.710672986336,7464.96335808457,0.98665202021706,-6.21159281654796
0.4,130.529355403441,7444.26741496287,0.985283368710825,-6.12357216910325
0.42,130.355330512334,7424.43089260481,0.983969765112466,-6.03372582666303
0.44,130.188286753493,7405.41501947072,0.982708857656633,-5.9420848882005
0.46,130.027927209195,7387.18300125324,0.981498405099636,-5.84868209696262
0.48,129.873968815214,7369.69990297944,0.980336270769054,-5.75355184947734
0.5,129.726141622322,7352.93253938675,0.979220416989271,-5.66406947562768
0.52,129.58418810392,7336.84937290206,0.978148899855224,-5.57449625035317
0.54,129.447862506434,7321.42041861441,0.977119864328945,-5.48337236169817
0.56,129.316930239388,7306.61715568708,0.976131539635628,-5.39073665420929
0.58,129.191167302332,7292.41244470405,0.975182234937853,-5.29662961387576
0.6,129.070359746014,7278.78045049071,0.974270335268338,-5.20109336000535
0.62,128.954303165421,7265.696569989,0.973394297703193,-5.10417163395498
0.64,128.842802222473,7253.13736480347,0.972552647759063,-5.00590978466288
0.66,128.735670196357,7241.08049806752,0.971743975998889,-4.90633606077501
0.68,128.632728559633,7229.50467530932,0.970966934832186,-4.80549369225763
0.7,128.533806578387,7218.38958902317,0.970220235496852,-4.70343387982905
0.72,128.43874093484,7207.71586667725,0.969502645210485,-4.6002225950325
0.74,128.347375370946,7197.46502191039,0.968812984480148,-4.49591754494789
0.76,128.259560351623,7187.61940869087,0.968150124560295,-4.3905732307229
0.78,128.175152746358,7178.16217822866,0.967512985049389,-4.28424556975661
0.8,128.094015528009,7169.0772384491,0.9669005316164,-4.17699185465132
0.82,128.016017487747,7160.34921585121,0.966311773849039,-4.06887070883556
0.84,127.941032965115,7151.96341958793,0.965745763216168,-3.95994203888514
0.86,127.868941592285,7143.90580761787,0.965201591137352,-3.85026698357801
0.88,127.799628051648,7136.16295479011,0.964678387153042,-3.73990785972683
0.9,127.732981845923,7128.72202273397,0.964175317189311,-3.62892810484202
0.92,127.668897080054,7121.57073143526,0.963691581911501,-3.51739221668677
0.94,127.607272254185,7114.69733238966,0.963226415161533,-3.40536462054667
0.96,127.548010067068,7108.09058323172,0.96277908247396,-3.29290913375351
0.98,127.491017229302,7101.73972374561,0.96234887966623,-3.18009424366553
1,127.436204285836,7095.63445317052,0.961935131498849,-3.06698922812548
1.02,127.383485447203,7089.76490871983,0.961537190401519,-2.95366408050718
1.04,127.332778429006,7084.12164523917,0.961154435261482,-2.84018943219682
1.06,127.284004299183,7078.69561593342,0.960786270270629,-2.72663647262846
1.08,127.237087332624,7073.47815409806,0.960432123828108,-2.61307686700034
1.1,127.19195487274,7068.46095579438,0.960091447495374,-2.49958267180656
1.12,127.148537199598,7063.63606341246,0.959763715000851,-2.38622624832502
1.14,127.106767404279,7058.99585006957,0.959448421291521,-2.27308017421061
1.16,127.066581269118,7054.53300479524,0.95914508162892,-2.16021715334798
1.18,127.02791715351,7050.24051845742,0.958853230727209,-2.04770992412562
1.2,126.99071588501,7046.11167038724,0.958572421931095,-1.93563116629813
1.22,126.954920655423,7042.14001566279,0.958302226431531,-1.82405340660968
1.24,126.92047692165,7038.31937301464,0.958042232517231,-1.70828590035305
1.26,126.887332311033,7034.64381331853,0.95779204486019,-1.59346798760105
1.28,126.85543653097,7031.10764864272,0.95755128383344,-1.48289822332523
1.3,126.824741282595,7027.70542181948,0.95731958485945,-1.37310607213651
1.32,126.795200178306,7024.43189651244,0.95709659778762,-1.26416106909915
1.34,126.766768662961,7021.28204775282,0.956881986299421,-1.15613201325404
1.36,126.739403938551,7018.25105291966,0.956675427339813,-1.04908686980882
1.38,126.71306489219,7015.33428314039,0.956476610573678,-0.943092672632424
1.4,126.687712027252,7012.5272950898,0.956285237866014,-0.838215427258875
1.42,126.663307397504,7009.82582316639,0.95610102278477,-0.734520014607391
1.44,126.639814544101,7007.22577202683,0.955923690125235,-0.632070095625819
1.46,126.617198435294,7004.72320945998,0.955752975454932,-0.530928017064923
1.48,126.595425408726,7002.31435958322,0.955588624678072,-0.431154718591221
1.5,126.574463116203,6999.99559634487,0.955430393618635,-0.33280964144474
1.52,126.55428047081,6997.76343731722,0.955278047621208,-0.235950638847196
1.54,126.534847596277,6995.6145377658,0.955131361168763,-0.140633888364201
1.56,126.516135778479,6993.5456849812,0.954990117516579,-0.0469138064226455
