t,delta,EmergR
0,0,-7.51044977401037
0.02,-0.0468,-7.46060735500125
0.04,-0.0936,-7.40864129865313
0.06,-0.1404,-7.35455598408618
0.08,-0.1872,-7.29835689731805
0.1,-0.234,-7.24005066956827
0.12,-0.2808,-7.17964511516223
0.14,-0.3276,-7.11718167341294
0.16,-0.3744,-7.05268065799233
0.18,-0.4212,-6.9861527118297
0.2,-0.468,-6.91760979877567
0.22,-0.5148,-6.84706523767466
0.24,-0.5616,-6.77452967056925
0.26,-0.6084,-6.69998709715461
0.28,-0.655200000000001,-6.62344923313892
0.3,-0.702000000000001,-6.54493608085146
0.32,-0.748800000000001,-6.46446915617078
0.34,-0.795600000000001,-6.38207151351172
0.36,-0.842400000000001,-6.29776776887419
0.38,-0.889200000000001,-6.21159281654796
0.4,-0.936000000000001,-6.12357216910325
0.42,-0.982800000000001,-6.03372582666303
0.44,-1.0296,-5.9420848882005
0.46,-1.0764,-5.84868209696262
0.48,-1.1232,-5.75355184947734
0.5,-1.17,-5.66406947562768
0.52,-1.2168,-5.57449625035317
0.54,-1.2636,-5.48337236169817
0.56,-1.3104,-5.39073665420929
0.58,-1.3572,-5.29662961387576
0.6,-1.404,-5.20109336000535
0.62,-1.4508,-5.10417163395498
0.64,-1.4976,-5.00590978466288
0.66,-1.5444,-4.90633606077501
0.68,-1.5912,-4.80549369225763
0.7,-1.638,-4.70343387982905
0.72,-1.6848,-4.6002225950325
0.74,-1.7316,-4.49591754494789
0.76,-1.7784,-4.3905732307229
0.78,-1.8252,-4.28424556975661
0.8,-1.872,-4.17699185465132
0.82,-1.9188,-4.06887070883556
0.84,-1.9656,-3.95994203888514
0.86,-2.0124,-3.85026698357801
0.88,-2.0592,-3.73990785972683
0.9,-2.106,-3.62892810484202
0.92,-2.1528,-3.51739221668677
0.94,-2.1996,-3.40536462054667
0.96,-2.2464,-3.29290913375351
0.98,-2.2932,-3.18009424366553
1,-2.34,-3.06698922812548
1.02,-2.3868,-2.95366408050718
1.04,-2.4336,-2.84018943219682
1.06,-2.4804,-2.72663647262846
1.08,-2.5272,-2.61307686700034
1.1,-2.574,-2.49958267180656
