Time,AngleX
0,0
0.1,0.699953334
0.2,1.399626697
0.3,2.098740227
0.4,2.797014289
0.5,3.494169583
0.6,4.189927255
0.7,4.884009013
0.8,5.576137231
0.9,6.26603507
1,6.953426578
1.1,7.638036808
1.2,8.319591925
1.3,8.997819316
1.4,9.6724477
1.5,10.34320723
1.6,11.00982962
1.7,11.67204822
1.8,12.32959816
1.9,12.98221643
2,13.62964198
2.1,14.27161586
2.2,14.90788128
2.3,15.53818374
2.4,16.16227114
2.5,16.77989385
2.6,17.39080482
2.7,17.99475971
2.8,18.59151693
2.9,19.18083779
3,19.76248657
3.1,20.33623062
3.2,20.90184045
3.3,21.45908982
3.4,22.00775584
3.5,22.54761905
3.6,23.07846352
3.7,23.60007691
3.8,24.11225058
3.9,24.61477967
4,25.10746318
4.1,25.59010404
4.2,26.0625092
4.3,26.5244897
4.4,26.97586076
4.5,27.41644184
4.6,27.8460567
4.7,28.26453351
4.8,28.67170489
4.9,29.06740797
5,29.45148447
5.1,29.82378077
5.2,30.18414795
5.3,30.53244188
5.4,30.86852324
5.5,31.1922576
5.6,31.50351548
5.7,31.80217236
5.8,32.08810881
5.9,32.36121043
6,32.62136801
6.1,32.86847747
6.2,33.10243998
6.3,33.32316196
6.4,33.53055511
6.5,33.72453649
6.6,33.9050285
6.7,34.07195896
6.8,34.22526109
6.9,34.36487356
7,34.49074055
7.1,34.6028117
7.2,34.70104219
7.3,34.78539272
7.4,34.85582956
7.5,34.91232453
7.6,34.95485504
7.7,34.98340407
7.8,34.99796021
7.9,34.99851763
8,34.98507611
8.1,34.95764102
8.2,34.91622335
8.3,34.86083965
8.4,34.79151208
8.5,34.70826837
8.6,34.61114181
8.7,34.50017126
8.8,34.3754011
8.9,34.23688124
9,34.08466708
9.1,33.91881951
9.2,33.73940487
9.3,33.54649491
9.4,33.3401668
9.5,33.12050307
9.6,32.88759158
9.7,32.64152549
9.8,32.38240323
9.9,32.11032843
10,31.82540994
10.1,31.5277617
10.2,31.21750278
10.3,30.89475728
10.4,30.55965428
10.5,30.21232783
10.6,29.85291685
10.7,29.48156511
10.8,29.09842113
10.9,28.70363817
11,28.29737413
11.1,27.87979153
11.2,27.45105738
11.3,27.01134317
11.4,26.56082479
11.5,26.09968243
11.6,25.62810054
11.7,25.14626776
11.8,24.6543768
11.9,24.15262442
12,23.64121132
12.1,23.12034204
12.2,22.59022494
12.3,22.05107205
12.4,21.50309902
12.5,20.94652504
12.6,20.38157273
12.7,19.80846807
12.8,19.22744027
12.9,18.63872176
13,18.04254801
13.1,17.43915748
13.2,16.82879152
13.3,16.21169427
13.4,15.58811256
13.5,14.95829581
13.6,14.32249594
13.7,13.68096726
13.8,13.03396638
13.9,12.38175209
14,11.72458526
14.1,11.06272875
14.2,10.3964473
14.3,9.726007404
14.4,9.051677238
14.5,8.373726522
14.6,7.692426428
14.7,7.008049465
14.8,6.320869376
14.9,5.631161024
15,4.939200282
15.1,4.245263926
15.2,3.549629521
15.3,2.852575312
15.4,2.15438011
15.5,1.455323185
15.6,0.75568415
15.7,0.055742852
15.8,-0.644220743
15.9,-1.343926658
16,-2.04309502
16.1,-2.741446171
16.2,-3.438700781
16.3,-4.134579956
16.4,-4.828805354
16.5,-5.521099295
16.6,-6.211184869
16.7,-6.898786053
16.8,-7.583627814
16.9,-8.265436224
17,-8.943938571
17.1,-9.618863461
17.2,-10.28994093
17.3,-10.95690257
17.4,-11.61948159
17.5,-12.27741297
17.6,-12.93043355
17.7,-13.57828213
17.8,-14.22069958
17.9,-14.85742893
18,-15.48821552
18.1,-16.11280702
18.2,-16.73095361
18.3,-17.34240805
18.4,-17.94692576
18.5,-18.54426493
18.6,-19.13418665
18.7,-19.71645494
18.8,-20.29083692
18.9,-20.85710283
19,-21.41502618
19.1,-21.96438381
19.2,-22.50495597
19.3,-23.03652645
19.4,-23.55888263
19.5,-24.07181557
19.6,-24.57512011
19.7,-25.06859492
19.8,-25.55204263
19.9,-26.02526986
20,-26.48808734
20.1,-26.94030993
20.2,-27.38175675
20.3,-27.81225124
20.4,-28.2316212
20.5,-28.63969889
20.6,-29.03632108
20.7,-29.42132912
20.8,-29.79456903
20.9,-30.15589151
21,-30.50515203
21.1,-30.8422109
21.2,-31.1669333
21.3,-31.47918934
21.4,-31.77885412
21.5,-32.06580779
21.6,-32.33993556
21.7,-32.60112778
21.8,-32.84927999
21.9,-33.08429293
22,-33.30607259
22.1,-33.51453026
22.2,-33.70958257
22.3,-33.8911515
22.4,-34.05916441
22.5,-34.21355412
22.6,-34.35425886
22.7,-34.48122235
22.8,-34.59439382
22.9,-34.69372799
23,-34.77918513
23.1,-34.85073106
23.2,-34.90833716
23.3,-34.95198039
23.4,-34.9816433
23.5,-34.99731401
23.6,-34.99898627
23.7,-34.9866594
23.8,-34.96033833
23.9,-34.92003359
24,-34.86576131
24.1,-34.79754318
24.2,-34.71540651
24.3,-34.61938413
24.4,-34.50951446
24.5,-34.38584144
24.6,-34.24841455
24.7,-34.09728874
24.8,-33.93252448
24.9,-33.75418766
25,-33.56234961
