Omega,Zeta_a,Wavenum,Phase,Psi
0.128681806,0,0.001687972,5.969838364,1.700994054
0.206768827,0.00E+00,0.004358139,1.452286112,1.753993608
0.099234149,0.00E+00,0.001003814,3.812904405,1.946830203
0.130921885,0,0.001747252,3.053517907,2.123835619
0.209576926,0,0.004477318,5.600196568,2.311917507
0.145578473,0,0.002160356,4.788395624,2.445602571
0.144806393,0,0.002137502,2.868070927,2.585657387
0.21913594,0,0.004895062,0.116261819,2.740302424
0.261094446,0,0.006949063,5.161053426,2.841216279
0.113301699,0,0.001308591,2.794153645,3.054175201
0.102016814,0,0.0010609,3.866875487,-3.084054408
0.112240537,0,0.001284193,4.975887158,-2.93699112
0.119587581,0,0.001457817,5.791921714,-2.693625936
0.253377071,0,0.006544336,4.638292921,-2.551055012
0.114221176,0,0.001329916,1.107512849,-2.364086283
0.200522549,0,0.004098807,2.549127317,-2.268553714
0.138047262,0,0.001942614,5.877729469,-2.196879141
0.129373305,0,0.001706162,5.761080505,-1.948387947
0.217739482,0,0.004832873,2.577803737,-1.756746299
0.188315401,0,0.003614953,5.614965602,-1.574394651
0.438269844,1.37E-42,0.019580067,0.363741796,1.605653566
0.328496557,1.21E-41,0.010999999,2.217135864,1.838410331
0.395748455,3.26E-41,0.015965019,5.109275788,1.966960729
0.438642713,6.08E-41,0.019613398,0.061960379,2.188574352
0.373686942,9.39E-41,0.014234651,0.872677149,2.311168311
0.42728428,1.29E-40,0.018610791,1.274011442,2.392014757
0.403849338,1.62E-40,0.01662531,1.248605534,2.58390374
0.337428116,1.90E-40,0.011606293,3.793740034,2.69740282
0.399531827,2.11E-40,0.016271731,1.710207171,2.9796153
0.298504835,2.21E-40,0.009083092,1.249186886,3.040388776
0.440936821,2.21E-40,0.019819091,0.095968914,-3.133888396
0.304506288,2.11E-40,0.009451996,4.692192791,-2.865864716
0.408621123,1.90E-40,0.017020512,2.796623364,-2.686876528
0.37937796,1.62E-40,0.014671523,5.854763668,-2.625405474
0.298411849,1.29E-40,0.009077434,2.927928801,-2.473815633
0.274854181,9.39E-41,0.007700797,2.630452184,-2.209680632
0.321093894,6.08E-41,0.010509815,5.316965979,-2.178540179
0.443604422,3.26E-41,0.020059621,3.299630449,-1.894251637
0.439912613,1.21E-41,0.019727126,1.2732709,-1.774708753
0.310218417,1.37E-42,0.009809935,4.223164266,-1.594723251
0.620873151,2.49E-10,0.039294951,5.2660535,1.603668639
0.57084682,2.21E-09,0.033217746,0.123398705,1.799361595
0.458667,5.93E-09,0.021444997,4.28059065,1.897690623
0.556482212,1.11E-08,0.031567019,2.384349557,2.175729219
0.519376354,1.71E-08,0.027497635,5.226328516,2.287401257
0.487461398,2.34E-08,0.024222081,3.159266525,2.406349435
0.481543255,2.94E-08,0.023637503,4.45774023,2.572163161
0.462577801,3.46E-08,0.021812255,2.694810208,2.806666785
0.450131649,3.83E-08,0.020654282,1.913967364,2.885894695
0.590400943,4.03E-08,0.035532444,1.19162964,2.996088228
0.451992178,4.03E-08,0.020825375,1.2153638,-3.110202175
0.606406634,3.83E-08,0.037485118,4.286534935,-2.976738635
0.512087101,3.46E-08,0.026731213,1.902324834,-2.738414824
0.578437178,2.94E-08,0.03410699,3.4034372,-2.651201861
0.622654839,2.34E-08,0.0395208,0.947962867,-2.431260999
0.476744402,1.71E-08,0.023168728,4.385025487,-2.337806724
0.478052661,1.11E-08,0.02329606,2.377387677,-2.078176346
0.505059915,5.93E-09,0.026002601,5.40361228,-1.983121598
0.454073514,2.21E-09,0.02101761,5.363673374,-1.755618233
0.512999661,2.49E-10,0.02682657,3.729465771,-1.720550371
0.63319974,3.86E-05,0.040870735,3.119931056,1.664716322
0.770797301,0.000341942,0.060563555,5.653416461,1.876968155
0.807700016,0.000918884,0.066501459,5.162448271,1.930319821
0.648108504,0.001712978,0.042818005,4.05209145,2.181652725
0.740087629,0.002646491,0.055833812,5.13948436,2.215071867
0.652117773,0.003628044,0.043349398,4.148332082,2.366454069
0.683974948,0.004561557,0.04768825,2.148664764,2.550077839
0.65251556,0.005355651,0.043402299,1.820401492,2.816924512
0.668409977,0.005932593,0.045542497,2.143782422,2.837349495
0.699506444,0.00623591,0.04987862,3.355717436,3.026016234
0.652579434,0.00623591,0.043410797,4.568587081,-2.984586585
0.671593285,0.005932593,0.045977323,1.943327388,-2.95121403
0.794825841,0.005355651,0.064398381,5.26842603,-2.74914336
0.698528795,0.004561557,0.049739294,3.56930454,-2.624723961
0.720100209,0.003628044,0.052858747,2.327377017,-2.407598107
0.644995202,0.002646491,0.042407626,4.415445098,-2.205713597
0.632213911,0.001712978,0.040743571,3.434207831,-2.078705224
0.656958156,0.000918884,0.043995313,2.795264765,-1.937400753
0.779925678,0.000341942,0.06200653,4.36409468,-1.864386828
0.786143795,3.86E-05,0.062999191,3.903806685,-1.712888518
0.841406392,0.000705079,0.072167657,4.994008133,1.573131211
0.985796754,0.006241971,0.099061696,6.012024697,1.773145264
0.935661409,0.016773764,0.089241822,3.283532003,2.013247431
0.964265121,0.031269534,0.094781572,5.530096586,2.196834613
0.8939413,0.048310334,0.081460861,1.086715486,2.201842183
0.896880707,0.066228092,0.081997452,6.155931307,2.484904431
0.85945571,0.083268892,0.075297056,1.705553427,2.610842363
0.818778295,0.097764662,0.068338216,1.585432045,2.758353228
0.854956203,0.108296456,0.074510714,5.502448638,2.865765772
0.841275611,0.113833347,0.072145225,4.632630154,3.113633671
0.972473684,0.113833347,0.096402148,0.857772556,-3.100247421
0.82996905,0.108296456,0.070219024,0.073869445,-2.866132385
0.81025182,0.097764662,0.066922325,5.616526569,-2.723816626
0.874204834,0.083268892,0.077903577,1.251221378,-2.636728841
0.933257869,0.066228092,0.08878392,1.876932041,-2.41869382
0.967493349,0.048310334,0.095417266,4.155966277,-2.261171191
0.914431545,0.031269534,0.085238028,1.786991872,-2.095520597
0.835967195,0.016773764,0.07123763,2.948223135,-2.013232533
0.864690062,0.006241971,0.076217014,0.4070318,-1.784967038
0.849737171,0.000705079,0.073603798,6.209891563,-1.701123867
0.988869616,0.001550199,0.099680236,3.661788131,1.65555667
1.058609693,0.013723703,0.114235931,2.660905459,1.825798489
